Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Dress_Type,Price_Category,Size_Count,Rating_Category,Dress_Type_Encoded
Women Pink Floral Embroidered Maxi Ethnic Dress,Vishudh,591,0.0,548.0,591.0,Maxi,Round Neck,Three-Quarter Sleeves,0,Maxi,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-women-pink-floral-embroidered-maxi-ethnic-dress/11524936/buy,Party Wear,Traditional,Medium,1,Low,3
Floral Printed Maxi Ethnic Dress,SAPTRANGI,18558,0.0,0.0,18558.0,Maxi,0,Short Sleeves,0,Maxi,M,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-printed-maxi-ethnic-dress/33625137/buy,Traditional,Traditional,High,1,Low,3
Cotton Floral Ethnic Midi Ethnic Dress,SUTI,1979,0.0,0.0,1979.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/suti/suti-cotton-floral-ethnic-midi-ethnic-dress/21263754/buy,Traditional,Traditional,High,3,Low,3
Women Floral Printed Midi Ethnic Dresses,anayna,1670,0.0,1100.0,1670.0,Midi,0,0,0,0,"XS, S, M, L, XL, XXL, 3XL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-midi-ethnic-dresses/31742090/buy,Traditional,Traditional,High,7,Low,3
Floral Print Mandarin Collar Gota Lace Yoke Flared Hem A-Line Maxi Dress,Globus,1475,0.0,69.0,1475.0,Maxi,Mandarin Collar,0,0,A-Line,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/globus/globus-floral-print-mandarin-collar-gota-lace-yoke-flared-hem-a-line-maxi-dress/35118763/buy,Seasonal Wear,Party Wear,High,4,Low,1
Women Floral Printed Ethnic Dress,Inddus,1498,0.0,0.0,1498.0,Maxi,Shoulder Straps,0,0,0,"XS, S, M, L, XL, XXL",4,No,"Polyester, Polyester",https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-printed-ethnic-dress/40455498/buy,Traditional,Traditional,High,6,Low,3
Blue Floral Ethnic A-Line Cotton Midi Ethnic Dress,anayna,1298,0.0,2200.0,1298.0,Midi,Strapless,Three-Quarter Sleeves,0,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-blue-floral-ethnic-a-line-cotton-midi-ethnic-dress/21334312/buy,Traditional,Traditional,High,7,Low,3
Floral Printed Round Neck Gathered Fit & Flare Cotton Maternity Ethnic Dress,MURLI KURTI,495,0.0,1400.0,495.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gathered-fit--flare-cotton-maternity-ethnic-dress/30742562/buy,Traditional,Traditional,Low,4,Low,3
Floral Printed Pure Cotton Maternity Ethnic Dresses,Tulsiram,549,0.0,155.0,549.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-floral-printed-pure-cotton-maternity-ethnic-dresses/32396190/buy,Traditional,Traditional,Medium,4,Low,3
Floral Printed V-Neck A-Line Midi Ethnic Dress,Anni Designer,767,0.0,7.0,767.0,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anni+designer/anni-designer-floral-printed-v-neck-a-line-midi-ethnic-dress/29972588/buy,Traditional,Traditional,Medium,5,Low,3
Floral Printed Anarkali Ethnic Dress & Dupatta,VASTRAMAY,1349,0.0,0.0,1349.0,Maxi,Shoulder Straps,0,0,0,2-3Y,4,No,Cotton,https://www.myntra.com/ethnic-dresses/vastramay/vastramay-floral-printed-anarkali-ethnic-dress--dupatta/24099124/buy,Traditional,Traditional,High,1,Low,3
Floral Yoke Design Thread Work Anarkali Dresses,DMP FASHION,497,0.0,8.0,497.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M, L, XL, XXL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/dmp+fashion/dmp-fashion-floral-yoke-design-thread-work-anarkali-dresses/33342638/buy,Seasonal Wear,Traditional,Low,6,Low,3
