Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Rating_Numeric,Reviews_Numeric,Sizes_Count,Discount_Percentage,Price_Per_Size,Rating_Score,Color_Category
White Floral Ethnic Maxi Dress,KALINI,3599,3.9 | 563 Ratings,563 Ratings,3599,Maxi,Square Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"S, M",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-white-floral-ethnic-maxi-dress/18374468/buy,Traditional,3.9,563,2,0,1799.5,3.9,High (4)
Women Pink Floral Embroidered Maxi Ethnic Dress,Vishudh,591,4.2 | 548 Ratings,548 Ratings,591,Maxi,Round Neck,Three-Quarter Sleeves,,Maxi,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-women-pink-floral-embroidered-maxi-ethnic-dress/11524936/buy,Party Wear,4.2,548,1,0,591,4.2,Medium (3)
Floral Printed Maxi Ethnic Dress,SAPTRANGI,18558,,,18558,Maxi,,Short Sleeves,,Maxi,M,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-printed-maxi-ethnic-dress/33625137/buy,Traditional,,,1,0,18558,,High (4)
Cotton Floral Ethnic Midi Ethnic Dress,SUTI,1979,,,1979,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/suti/suti-cotton-floral-ethnic-midi-ethnic-dress/21263754/buy,Traditional,,,3,0,659.6666667,,High (4)
Women Floral Printed Midi Ethnic Dresses,anayna,1670,4.4 | 1.1k Ratings,1.1k Ratings,1670,Midi,,,,,"XS, S, M, L, XL, XXL, 3XL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-midi-ethnic-dresses/31742090/buy,Traditional,4.4,1100,7,0,238.5714286,4.4,Medium (3)
Floral Print Mandarin Collar Gota Lace Yoke Flared Hem A-Line Maxi Dress,Globus,1475,4.2 | 69 Ratings,69 Ratings,1475,Maxi,Mandarin Collar,,,A-Line,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/globus/globus-floral-print-mandarin-collar-gota-lace-yoke-flared-hem-a-line-maxi-dress/35118763/buy,Seasonal Wear,4.2,69,4,0,368.75,4.2,High (4)
Women Floral Printed Ethnic Dress,Inddus,1498,,,1498,Maxi,Shoulder Straps,,,,"XS, S, M, L, XL, XXL",4,No,"Polyester, Polyester",https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-printed-ethnic-dress/40455498/buy,Traditional,,,6,0,249.6666667,,High (4)
Blue Floral Ethnic A-Line Cotton Midi Ethnic Dress,anayna,1298,4.3 | 2.2k Ratings,2.2k Ratings,1298,Midi,Strapless,Three-Quarter Sleeves,,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-blue-floral-ethnic-a-line-cotton-midi-ethnic-dress/21334312/buy,Traditional,4.3,2200,7,0,185.4285714,4.3,Medium (3)
Floral Printed Round Neck Gathered Fit & Flare Cotton Maternity Ethnic Dress,MURLI KURTI,495,4 | 1.4k Ratings,1.4k Ratings,495,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gathered-fit--flare-cotton-maternity-ethnic-dress/30742562/buy,Traditional,4,1400,4,0,123.75,4,Medium (3)
Floral Printed Pure Cotton Maternity Ethnic Dresses,Tulsiram,549,4.1 | 155 Ratings,155 Ratings,549,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-floral-printed-pure-cotton-maternity-ethnic-dresses/32396190/buy,Traditional,4.1,155,4,0,137.25,4.1,High (4)
