Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link
Women Pink Floral Embroidered Maxi Ethnic Dress,Vishudh,₹591,4.2 | 548 Ratings,548 Ratings,₹591 MRP ₹1849(68% OFF),Maxi,Round Neck,Three-Quarter Sleeves,,Maxi,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-women-pink-floral-embroidered-maxi-ethnic-dress/11524936/buy
Floral Printed Maxi Ethnic Dress,SAPTRANGI,₹18558,,,₹18558 MRP ₹34999(47% OFF),Maxi,,Short Sleeves,,Maxi,M,4,No,Satin,https://www.myntra.com/ethnic-dresses/saptrangi/saptrangi-floral-printed-maxi-ethnic-dress/33625137/buy
Cotton Floral Ethnic Midi Ethnic Dress,SUTI,₹1979,,,₹1979 MRP ₹3499(43% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L",4,No,Cotton,https://www.myntra.com/ethnic-dresses/suti/suti-cotton-floral-ethnic-midi-ethnic-dress/21263754/buy
Women Floral Printed Midi Ethnic Dresses,anayna,₹1670,4.4 | 1.1k Ratings,1.1k Ratings,₹1670 MRP ₹4750(65% OFF),Midi,,,,,"XS, S, M, L, XL, XXL, 3XL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/anayna/anayna-women-floral-printed-midi-ethnic-dresses/31742090/buy
Floral Print Mandarin Collar Gota Lace Yoke Flared Hem A-Line Maxi Dress,Globus,₹1475,4.2 | 69 Ratings,69 Ratings,₹1475 MRP ₹2499(41% OFF),Maxi,Mandarin Collar,,,A-Line,"S, M, L, XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/globus/globus-floral-print-mandarin-collar-gota-lace-yoke-flared-hem-a-line-maxi-dress/35118763/buy
Women Floral Printed Ethnic Dress,Inddus,₹1498,,,₹1498 MRP ₹4399(66% OFF),Maxi,Shoulder Straps,,,,"XS, S, M, L, XL, XXL",4,No,"Polyester, Polyester",https://www.myntra.com/ethnic-dresses/inddus/inddus-women-floral-printed-ethnic-dress/40455498/buy
Blue Floral Ethnic A-Line Cotton Midi Ethnic Dress,anayna,₹1298,4.3 | 2.2k Ratings,2.2k Ratings,₹1298 MRP ₹3690(65% OFF),Midi,Strapless,Three-Quarter Sleeves,,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-blue-floral-ethnic-a-line-cotton-midi-ethnic-dress/21334312/buy
Floral Printed Round Neck Gathered Fit & Flare Cotton Maternity Ethnic Dress,MURLI KURTI,₹495,4 | 1.4k Ratings,1.4k Ratings,₹495 MRP ₹2949(83% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-round-neck-gathered-fit--flare-cotton-maternity-ethnic-dress/30742562/buy
Floral Printed Pure Cotton Maternity Ethnic Dresses,Tulsiram,₹549,4.1 | 155 Ratings,155 Ratings,₹549 MRP ₹2499(78% OFF),Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/tulsiram/tulsiram-floral-printed-pure-cotton-maternity-ethnic-dresses/32396190/buy
Floral Printed V-Neck A-Line Midi Ethnic Dress,Anni Designer,₹767,3 | 7 Ratings,7 Ratings,₹767 MRP ₹3197(76% OFF),Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"S, M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/anni+designer/anni-designer-floral-printed-v-neck-a-line-midi-ethnic-dress/29972588/buy
